,BA,FI,MI/TO,NA,RM
**BA**,0,662,**877**,255,412
**FI**,662,0,**295**,468,268
**MI/TO**,**877**,**295**,0,**754**,**564**
**NA**,255,468,**754**,0,<u>219</u>
**RM**,412,268,**564**,<u>219</u>,0
